label	seconds	count	seconds_per_call
l_op_ekappa_fft	48.994706	128	0.382771
l_op_total	249.575456	128	1.949808
lapl_tensor_dot	7.691690	128	0.060091
lapl_tensor_grad_ifft	88.880107	128	0.694376
lapl_tensor_total	189.407675	128	1.479747
lapl_tensor_work_build	15.321784	384	0.039900
lapl_tensor_work_fft	75.249614	384	0.195963
minimize_l_total	278.161433	14	19.868674
nlpb_bound_fft	33.410389	40	0.835260
nlpb_dielectric_scalar	11.482328	40	0.287058
nlpb_ekappa2	5.613579	19	0.295452
nlpb_fft_phi	6.142648	40	0.153566
nlpb_grad	32.860703	40	0.821518
nlpb_ion	16.504842	40	0.412621
nlpb_local_field_factor	608.942111	40	15.223553
nlpb_response	12.060515	19	0.634764
nlpb_scale_field	1.339714	40	0.033493
nlpb_total_no_response	381.343120	21	18.159196
nlpb_total_response	347.021330	19	18.264281
