stage	seconds
read_config	0.001306
read_chgcar	3.231864
read_phi_ref	3.170130
read_rhob_ref	3.197659
read_rhoion_ref	4.110506
build_grid_and_valence_array	0.005178
read_potcar	0.030967
prepare_positions_counts_zvals	0.001806
solute_potential_and_dencor:solute_fft_valence	0.183019
solute_potential_and_dencor:solute_structure_factors	0.647878
solute_potential_and_dencor:solute_dencor	2.295900
solute_potential_and_dencor:solute_hartree	0.168832
solute_potential_and_dencor:solute_local_potential	1.854553
solute_ifft_cvhar	0.194983
solute_build_electron_density	0.049655
derive_solvation_params	0.004689
create_cavity:cavity_vdw_shape	0.367137
create_cavity:cavity_kernels	1.036738
create_cavity:cavity_ion	0.715533
create_cavity:cavity_solv	0.725904
create_cavity:cavity_cav	0.011102
create_cavity:cavity_diel	0.730128
create_cavity:cavity_vacuum_mask	0.729314
