fixstep	outer	rms	cg_iter	post_step_rms
0	0	6.429710243368e+00	6	5.054333357297e-01
0	1	5.054333357297e-01	10	2.210023960170e-01
0	2	2.210023960170e-01	11	7.990054022584e-02
0	3	7.990054022584e-02	11	1.563103983518e-02
0	4	1.563103983518e-02	16	9.671778969355e-03
0	5	9.671778969355e-03	16	7.433269362258e-03
0	6	7.433269362258e-03	16	2.500215634215e-03
0	7	2.500215634215e-03	9	1.052525628929e-03
0	8	1.052525628929e-03	4	7.014303850529e-04
1	0	5.115365373816e-02	8	4.380812328339e-03
1	1	4.380812328339e-03	9	6.341938501434e-04
2	0	3.020965539220e-03	4	9.349209414196e-04
3	0	9.354792849096e-04	4	4.980324599027e-04
4	0	5.786398851765e-04	4	4.834410307281e-04
